Process Date,Buyer,Supplier,CIN,Item Desc,RCA,Blocked Qty,Short Qty,Order Qty,PROCESS_DATE,BUYER_NUMBER,SUPPLIER_NUM,CIN_DESC,BLOCKED_QTY,SHORT_QTY,ORDER_QTY
2025-02-17,624,2545.0,5644174,CANDESARTAN CILEXETIL TB 32MG 90,Product in Blocked - FDC,0,5,5,,,,,,,
2025-02-17,624,2545.0,4594917,METOPROLOL SUCC ER TB 50MG 1000,Product in Blocked - FDC,0,1,8,,,,,,,
2025-02-17,624,57629.0,4775037,OXYCOD/APAP TB 10-325MG 100    C2,Product in Blocked - FDC,0,9,10,,,,,,,
2025-02-17,625,5220.0,5860010,LUBRICANT DR 0.5% 30X0.4ML PF,Product in Blocked - FDC,0,1,1,,,,,,,
2025-02-17,625,2802.0,5285200,ONDANSETRON ODT TD 4MG 30,Product in Blocked - FDC,0,6,6,,,,,,,
2025-02-17,625,8986.0,5938030,BUMETANIDE TB 1MG 100,Product in Blocked - FDC,0,2,8,,,,,,,
2025-02-17,625,2802.0,5853148,LACTULOSE SL 10GM/15ML 473ML,Product in Blocked - FDC,0,12,12,,,,,,,
2025-02-17,625,9218.0,5936869,DILTIAZEM SF 5MG/ML 10X5ML,Product in Blocked - FDC,0,28,34,,,,,,,
2025-02-17,627,5300.0,5873914,ESTRADIOL TB 1MG 100,Product in Blocked - FDC,0,1,1,,,,,,,
2025-02-17,627,2811.0,4299913,IMIPRAMINE PAMOATE CP 75MG 30,Product in Blocked - FDC,0,1,3,,,,,,,
2025-02-17,627,2811.0,4899167,CEVIMELINE HCL CP 30MG 100,Product in Blocked - FDC,0,3,3,,,,,,,
2025-02-17,627,4511.0,5498563,LEVOTHYROXINE TB 125MCG 100,Product in Blocked - FDC,0,6,6,,,,,,,
2025-02-17,627,4511.0,5723366,LYLLANA AP 0.05MG/24H 8,Product in Blocked - FDC,0,6,6,,,,,,,
2025-02-17,627,4511.0,5812409,IPRATROPIUM SN 0.06% 15ML NSL,Product in Blocked - FDC,0,6,6,,,,,,,
2025-02-17,627,4511.0,5498738,LEVOTHYROXINE TB 200MCG 100,Product in Blocked - FDC,0,7,7,,,,,,,
2025-02-17,627,2543.0,5699723,EMTRIC TENOF DF TB 200-300MG 30,Product in Blocked - FDC,0,38,38,,,,,,,
2025-02-17,628,4289.0,2752103,POTASS CIT/CIT SL 1100-334MG473ML,Product in Blocked - FDC,0,2,2,,,,,,,
2025-02-17,627,4511.0,5917315,LISDEXAMFETAMINE CP 60MG 90    C2,Product in Blocked - FDC,0,2,2,,,,,,,
2025-02-17,627,4511.0,5917315,LISDEXAMFETAMINE CP 60MG 90    C2,Product in Blocked - FDC,0,2,2,,,,,,,
2025-02-17,627,2543.0,5935861,PROPYLTHIOURACIL TB 50MG 100,Product in Blocked - FDC,0,1,1,,,,,,,
2025-02-17,628,4887.0,5832514,KETOROLAC TROMETH TB 10MG 100,Product in Blocked - FDC,0,14,14,,,,,,,
2025-02-17,633,2542.0,4384731,LATANOPROST DR 0.005% 2.5ML,Product in Blocked - FDC,0,35,35,,,,,,,
2025-02-17,617,500.0,5891536,URIBEL TB 100,Product in Blocked - FDC,0,1,1,,,,,,,
2025-02-17,617,3659.0,5805346,ZONISADE SS 20MG/ML 150ML ORL,Product in Blocked - FDC,0,3,12,,,,,,,
2025-02-17,622,4549.0,3326337,PRIMIDONE TB 50MG 500,Product in Blocked - FDC,0,1,1,,,,,,,
2025-02-17,622,4564.0,5866108,SAXAGLIPTIN/MET HCLTB2.5-1000MG60,Product in Blocked - FDC,0,3,3,,,,,,,
2025-02-17,622,9099.0,5817606,NITROFURANTOIN CP 100MG 100,Product in Blocked - FDC,0,7,7,,,,,,,
2025-02-17,622,10669.0,5524111,ROSUVASTATIN TB 5MG 90,Product in Blocked - FDC,0,8,9,,,,,,,
2025-02-17,605,4150.0,5418934,QVAR REDIHALER IN 40MCG 10.6GM,Product in Blocked - FDC,0,1,1,,,,,,,
2025-02-17,605,5463.0,4439527,TRADJENTA TB 5MG 90,Product in Blocked - FDC,0,1,2,,,,,,,
2025-02-17,604,58157.0,4724654,DYMISTA SN 137-50MCG/SP 23GM NSL,Product in Blocked - FDC,0,1,1,,,,,,,
2025-02-17,602,6376.0,5431960,DIFFERIN CLEANSER LQ 5% 118ML,Product in Blocked - FDC,0,1,1,,,,,,,
2025-02-17,602,5963.0,5417688,STEGLATRO TB 5MG 30UU,Product in Blocked - FDC,0,1,1,,,,,,,
2025-02-17,627,2543.0,3410024,NIZATIDINE CP 300MG 30,Product in Blocked - NLC,0,2,2,,,,,,,
2025-02-17,627,2543.0,3410024,NIZATIDINE CP 300MG 30,Product in Blocked - NLC,0,6,7,,,,,,,
2025-02-17,628,2541.0,5128020,RIVASTIGMINE TD SYS AP 4.6/24 30,Product in Blocked - NLC,0,2,2,,,,,,,
2025-02-17,632,57669.0,5961677,BEPOTASTINE BESILATE DR 1.5% 10ML,Product in Blocked - NLC,0,3,3,,,,,,,
2025-02-17,625,4901.0,4278065,IMIPRAMINE PAMOATE CP 75MG 30,Product in Blocked - NLC,0,2,2,,,,,,,
2025-02-17,625,4901.0,4278065,IMIPRAMINE PAMOATE CP 75MG 30,Product in Blocked - NLC,0,2,2,,,,,,,
2025-02-17,627,,5799267,FULVESTRANT SY 50MG/ML 2X5ML PFS,Product in Blocked - NLC,1932,3,3,,,,,,,
2025-02-17,627,,5799267,FULVESTRANT SY 50MG/ML 2X5ML PFS,Product in Blocked - NLC,1932,3,3,,,,,,,
2025-02-17,627,,5799267,FULVESTRANT SY 50MG/ML 2X5ML PFS,Product in Blocked - NLC,1932,4,4,,,,,,,
2025-02-17,627,,5799267,FULVESTRANT SY 50MG/ML 2X5ML PFS,Product in Blocked - NLC,1932,9,9,,,,,,,
2025-02-17,627,,5799267,FULVESTRANT SY 50MG/ML 2X5ML PFS,Product in Blocked - NLC,1932,1,1,,,,,,,
2025-02-17,601,,5888219,INS GLARGINE-YFGN SY100U/ML 5X3ML,Product in Blocked - FDC,1080,96,96,,,,,,,
2025-02-17,622,,5792932,TRANEXAMIC AC SF 100MG/ML 10X10ML,Product in Quarantine - NLC,811,1,1,,,,,,,
2025-02-17,622,,5792932,TRANEXAMIC AC SF 100MG/ML 10X10ML,Product in Quarantine - NLC,811,2,2,,,,,,,
2025-02-17,622,,5792932,TRANEXAMIC AC SF 100MG/ML 10X10ML,Product in Quarantine - NLC,811,3,3,,,,,,,
2025-02-17,622,,5792932,TRANEXAMIC AC SF 100MG/ML 10X10ML,Product in Quarantine - NLC,811,5,6,,,,,,,
2025-02-17,622,,5792932,TRANEXAMIC AC SF 100MG/ML 10X10ML,Product in Quarantine - NLC,811,5,5,,,,,,,
2025-02-17,622,,5792932,TRANEXAMIC AC SF 100MG/ML 10X10ML,Product in Quarantine - NLC,811,18,18,,,,,,,
2025-02-17,622,,4837076,DIPRIVAN SF 10MG/ML 10X20ML,Product in Blocked - FDC,504,56,60,,,,,,,
2025-02-17,633,,5026174,HYDROCOD/AP TB 7.5-325MG 100   C2,Product in Blocked - FDC,480,10,10,,,,,,,
2025-02-17,602,,5808621,AUVELITY TB 45-105MG 30,Product in Blocked - FDC,395,63,63,,,,,,,
2025-02-17,640,,5781216,OMNIPOD 5 PODS 5 PACK,Product in Blocked - FDC,390,264,264,,,,,,,
2025-02-17,645,,3990033,MUCINEX D TB 1200-120MG 24 IR/ER,Product in Blocked - FDC,336,32,32,,,,,,,
2025-02-17,645,,3643442,MUCINEX D TB 600-60MG 18 ER,Product in Blocked - FDC,312,50,50,,,,,,,
2025-02-17,632,,5552203,BRIMONIDINE TART DR 0.2%10ML OPTH,Product in Blocked - FDC,291,4,4,,,,,,,
2025-02-17,648,,5876115,LDR MAGNESIUM CIT SL 296ML LMN,Product in Blocked - FDC,228,17,17,,,,,,,
2025-02-17,645,,3643459,MUCINEX D TB 600-60MG 36 ER,Product in Blocked - FDC,192,33,33,,,,,,,
2025-02-17,633,,5861976,ROCURONIUM MD 10MG/ML 10X5ML,Product in Blocked - FDC,190,8,8,,,,,,,
2025-02-17,648,,5577325,SUDAFED SIN/CONG 12H TB 120MG 10,Product in Blocked - FDC,168,3,3,,,,,,,
2025-02-17,628,,5883160,COCAINE HCL SL 4% 4ML          C2,Product in Quarantine - FDC,168,1,1,,,,,,,
2025-02-17,645,,5801121,RICOLA LZ 2MG 24 HNY HRB,Product in Blocked - FDC,144,4,4,,,,,,,
2025-02-17,601,,5888227,SEMGLEE SY 100U/ML 5X3ML,Product in Blocked - FDC,144,22,22,,,,,,,
2025-02-17,625,,5555982,FLUTICASONE PROP SN 50MCG 15.8ML,Product in Blocked - FDC,96,5,5,,,,,,,
2025-02-17,645,,3459377,MUCINEX TB 600MG 20,Product in Blocked - FDC,96,5,5,,,,,,,
2025-02-17,645,,5801139,RICOLA LZ 1.7MG 19 BRY,Product in Blocked - FDC,96,5,5,,,,,,,
2025-02-17,639,,3803608,BV MAGNESIUM OXIDE TB 400MG 120,Product in Blocked - FDC,96,87,87,,,,,,,
2025-02-17,639,,5350483,PUREMARK VITAMIN D CP 2000IU 60,Product in Blocked - FDC,84,5,5,,,,,,,
2025-02-17,645,,3592367,MUCINEX DM TB 600-30MG 20,Product in Blocked - FDC,72,2,2,,,,,,,
