Process Date,Buyer,Supplier,CIN,Item Desc,DC,RCA,Blocked Qty,Short Qty,Order Qty,PROCESS_DATE,BUYER_NUMBER,SUPPLIER_NUM,CIN_DESC,BLOCKED_QTY,SHORT_QTY,ORDER_QTY
2025-02-17,628,,5966643,MYCOPHENOLIC ACID TB 180MG 120 DR,26,Product in Blocked - FDC,3,2,2,,,,,,,
2025-02-17,625,,5967476,DILTIAZEM SF 5MG/ML 10X25ML,19,Product in Blocked - FDC,3,1,1,,,,,,,
2025-02-17,625,,5749064,LOPERAMIDE/SIMETH TB2-125MG 4X6UD,19,Product in Blocked - FDC,2,1,1,,,,,,,
2025-02-17,628,,5852405,MYCOPHENOLIC ACID TB 180MG 120 DR,10,Product in Blocked - FDC,2,2,2,,,,,,,
2025-02-17,628,,4025086,OXCARBAZEPINE TB 600MG 100,28,Product in Blocked - FDC,2,1,1,,,,,,,
2025-02-17,604,,5742341,TOBI PODHALER IN 28MG 4X56UD INH,19,Product in Blocked - FDC,2,1,1,,,,,,,
2025-02-17,624,,5521034,FINASTERIDE TB 5MG 5X10UD,28,Product in Blocked - FDC,2,2,2,,,,,,,
2025-02-17,641,,4930814,TTS VASELINE JL12X1.75OZ ORIGINAL,10,Product in Blocked - FDC,2,3,3,,,,,,,
2025-02-17,648,,5543343,GERI-TUSSIN LQ 100/5ML 473ML SF,10,Product in Blocked - FDC,1,1,3,,,,,,,
2025-02-17,624,,5347299,FENTANYL AP 25MCG/HR 5         C2,27,Product in Blocked - FDC,1,2,4,,,,,,,
2025-02-17,624,,2897346,CLOZAPINE TB 100MG 100,16,Product in Blocked - FDC,1,1,1,,,,,,,
2025-02-17,624,,5765631,MINOCYCLINE HCL TB 75MG 100 CPLT,10,Product in Blocked - FDC,1,1,1,,,,,,,
2025-02-17,622,,5781026,HEPARIN SOD SF 1000U/ML 25X2ML,28,Product in Blocked - FDC,1,1,1,,,,,,,
2025-02-17,601,,5124995,MEROPENEM/SOD CL PM 1GM 24,26,Product in Blocked - FDC,1,1,1,,,,,,,
2025-02-17,622,,5726708,RUFINAMIDE TB 200MG 120,10,Product in Blocked - FDC,1,1,1,,,,,,,
2025-02-17,628,,5187505,LAMOTRIGINE ODT KT VALP BLU 28,10,Product in Blocked - FDC,1,1,1,,,,,,,
2025-02-17,627,,5853700,AMPHET SALT CMB ER CP 10MG 100 C2,16,Product in Blocked - FDC,1,1,1,,,,,,,
2025-02-17,627,,5923719,THEOPHYLLINE TB 450MG 100 ER CPLT,10,Product in Blocked - FDC,1,1,1,,,,,,,
2025-02-17,627,,2469039,SODIUM CL IS 0.9% 24X500ML VF,3,Product in Blocked - FDC,1,1,1,,,,,,,
