Process Date,Buyer,CIN,Item Desc,DC,RCA,Blocked Qty,Short Qty,Order Qty,PROCESS_DATE,BUYER_NUMBER,CIN_DESC,BLOCKED_QTY,SHORT_QTY,ORDER_QTY
2024-12-18,617,4018081,EFFER-K TB 20MEQ 30UD UNFLAVORED,16 - Dallas,Product in Quarantine - FDC,0,1,1,,,,,,
2024-12-18,644,4374195,DOVE SHEABUTTER LQ24OZ WVAN/BRNSG,10 - Jackson,Product in Blocked - FDC,0,2,4,,,,,,
2024-12-18,633,5919337,LURASIDONE HCL TB 80MG 30,15 - Aurora,Product in Blocked - NLC,0,2,2,,,,,,
2024-12-18,633,5919337,LURASIDONE HCL TB 80MG 30,11 - Lakeland,Product in Blocked - NLC,0,3,3,,,,,,
2024-12-18,622,5534649,METHYLPHEN LA CP 10MG 100 C2,6 - Boston,Product in Blocked - FDC,0,3,4,,,,,,
2024-12-18,627,2543395,NITROGLY/D5W BT 50MG/250ML 12,9 - Knoxville,Product in Blocked - FDC,0,2,2,,,,,,
2024-12-18,627,5270616,LEVOFLOXACIN IP 750MG 24X150ML PF,9 - Knoxville,Product in Blocked - FDC,0,1,1,,,,,,
2024-12-18,633,5193008,MONTELUKAST SODIUM CW 4MG 90,8 - Wheeling,Product in Blocked - FDC,0,50,144,,,,,,
2024-12-18,605,4129896,ADVAIR HFA IN 45-21MCG 12GM,8 - Wheeling,Product in Blocked - FDC,0,1,1,,,,,,
2024-12-18,624,2828663,FLUOCINONIDE SL 0.05% 20ML,3 - Syracuse,Product in Blocked - FDC,0,2,2,,,,,,
2024-12-18,633,5533328,MESALAMINE CP 400MG 180 DR,3 - Syracuse,Product in Blocked - FDC,0,1,1,,,,,,
2024-12-18,625,4268611,NICOTINE GM 4MG 100 FRT,24 - Hudson,Product in Blocked - FDC,0,1,1,,,,,,
2024-12-18,627,1507839,FLUOCINONIDE OI 0.05% 60GM,34 - Sacramento,Product in Blocked - FDC,0,2,2,,,,,,
2024-12-18,604,4984589,ULTANE LQ 6X250ML PEN BTL,34 - Sacramento,Product in Blocked - FDC,0,2,2,,,,,,
2024-12-18,628,3904737,TRIAMT/HCTZ TB 75-50MG 500,32 - Valencia,Product in Blocked - FDC,0,1,1,,,,,,
2024-12-18,604,1112606,ARMOUR THYROID TB 120MG 100,32 - Valencia,Product in Blocked - FDC,0,1,1,,,,,,
2024-12-18,625,5803374,OXCARBAZEPINE TB 600MG 100,32 - Valencia,Product in Blocked - FDC,0,1,1,,,,,,
2024-12-18,624,1210632,ISONIAZID TB 300MG 10X10UD    UDL,32 - Valencia,Product in Blocked - FDC,0,1,1,,,,,,
2024-12-18,627,5534391,METHYLPHENIDATE TB 72MG 30 ER  C2,32 - Valencia,Product in Blocked - FDC,0,1,1,,,,,,
2024-12-18,604,4301313,XIFAXAN TB 550MG 6X10UD,32 - Valencia,Product in Blocked - FDC,0,1,1,,,,,,
2024-12-18,622,5779616,METRONIDAZOLE GL 1% 60GM TOP,32 - Valencia,Product in Blocked - FDC,0,1,1,,,,,,
2024-12-18,602,3965324,JANUMET TB 50-1000MG 180,32 - Valencia,Product in Blocked - FDC,0,20,33,,,,,,
2024-12-18,628,5554183,GABAPENTIN CP 100MG 500,26 - Greensboro,Product in Blocked - FDC,0,1,1,,,,,,
2024-12-18,617,5705280,GEMTESA TB 75MG 30 1/D,32 - Valencia,Product in Blocked - FDC,0,2,2,,,,,,
2024-12-18,625,5855457,AMITRIPTYLINE HCL TB 25MG 1000,32 - Valencia,Product in Blocked - FDC,0,2,2,,,,,,
2024-12-18,622,5885843,BRIMONIDINE TART DR0.15%15ML OPTH,32 - Valencia,Product in Blocked - FDC,0,3,3,,,,,,
2024-12-18,604,4489159,LUPRON DEPOT KT 45MG 6-MONTH DCS,32 - Valencia,Product in Blocked - FDC,0,1,3,,,,,,
2024-12-18,633,5919337,LURASIDONE HCL TB 80MG 30,32 - Valencia,Product in Blocked - NLC,0,4,4,,,,,,
2024-12-18,622,5282827,TELMISRTN/HCTZ TB 80-12.5MG 30,32 - Valencia,Product in Blocked - FDC,0,2,4,,,,,,
2024-12-18,627,5805130,PROCHLORPER MAL TB 10MG 100,32 - Valencia,Product in Blocked - FDC,0,4,4,,,,,,
2024-12-18,625,5020409,MIRTAZAPINE TB 7.5MG 30 CPLT,32 - Valencia,Product in Blocked - FDC,0,5,5,,,,,,
2024-12-18,617,5552823,SLYND TB 4MG 28 BPK,32 - Valencia,Product in Blocked - FDC,0,5,5,,,,,,
2024-12-18,605,5728308,WEGOVY SY 1MG/0.5ML 4X0.5ML PPN,32 - Valencia,Product in Blocked - FDC,0,6,6,,,,,,
2024-12-18,627,5854963,SERTRALINE HCL TB 25MG 500 CPLT,32 - Valencia,Product in Blocked - FDC,0,6,6,,,,,,
2024-12-18,624,4804431,ESCITALOPRAM TB 5MG 100,32 - Valencia,Product in Blocked - FDC,0,7,7,,,,,,
2024-12-18,633,5732144,MOXIFLOXACIN HCL DR 0.5% 3ML,32 - Valencia,Product in Blocked - FDC,0,4,7,,,,,,
2024-12-18,627,5910260,VENLAFAXINE HCL ER CP 37.5MG 90,32 - Valencia,Product in Blocked - FDC,0,8,8,,,,,,
2024-12-18,627,5854989,SERTRALINE HCL TB 100MG 1000 CPLT,32 - Valencia,Product in Blocked - FDC,0,8,8,,,,,,
2024-12-18,617,4806691,ELIQUIS TB 2.5MG 60,32 - Valencia,Product in Blocked - FDC,0,9,10,,,,,,
2024-12-18,625,5946272,ORALYTE SL 33.8OZ GRAPE,32 - Valencia,Product in Blocked - FDC,0,13,21,,,,,,
2024-12-18,628,5906557,DEXAMETHASONE TB 4MG 100,32 - Valencia,Product in Blocked - FDC,0,1,1,,,,,,
2024-12-18,625,5829072,LURASIDONE HCL TB 80MG 30,37 - Seattle,Product in Blocked - FDC,0,1,1,,,,,,
2024-12-18,625,5578745,OXYCOD/APAP TB 10-325MG 100    C2,43 - Swedesboro,Product in Blocked - FDC,0,2,2,,,,,,
2024-12-18,624,4349361,LOSARTAN POT TB 100MG 30,43 - Swedesboro,Product in Blocked - FDC,0,1,3,,,,,,
2024-12-18,624,5541461,SOLIFENACIN SUCCINATE TB 5MG 30,43 - Swedesboro,Product in Blocked - FDC,0,2,3,,,,,,
2024-12-18,627,5237227,LAMOTRIGINE ER TB 100MG 30,43 - Swedesboro,Product in Blocked - FDC,0,3,3,,,,,,
2024-12-18,627,3947975,HYDROCHLOROTHIAZIDE TB 12.5MG 100,34 - Sacramento,Product in Blocked - FDC,0,1,1,,,,,,
2024-12-18,625,5903083,GLYCERIN SU 2GM 2X6 ADULT,34 - Sacramento,Product in Blocked - FDC,0,4,4,,,,,,
2024-12-18,627,3713740,FLUTICASONE PROP SN 50MCG 16GM,34 - Sacramento,Product in Blocked - FDC,0,5,5,,,,,,
2024-12-18,627,5568597,NITROFURANTOIN MACRO CP 100MG 100,34 - Sacramento,Product in Blocked - FDC,0,1,1,,,,,,
2024-12-18,645,2944296,NICODERM CQ CLEAR AP 14MG/24HR 14,43 - Swedesboro,Product in Blocked - FDC,0,15,15,,,,,,
2024-12-18,622,5904149,METHYLPHEN LA CP 10MG 100 CVS C2,43 - Swedesboro,Product in Blocked - FDC,0,1,1,,,,,,
2024-12-18,648,3318250,ORAL-B STAGE 3 TPST PRINCESS,64 - Kinray,Product in Blocked - FDC,0,15,15,,,,,,
2024-12-18,640,5781216,OMNIPOD 5 PODS 5 PACK,26 - Greensboro,Product in Blocked - FDC,1029,13,13,,,,,,
2024-12-18,628,5960182,SCOPOLAMINE AP 1MG/72HR 4,18 - St. Louis,Product in Blocked - NLC,780,1,1,,,,,,
2024-12-18,602,5488937,REPATHA SURECLICK SY 140/ML 2X1ML,43 - Swedesboro,Product in Blocked - FDC,779,397,400,,,,,,
2024-12-18,625,4946570,RIFAMPIN CP 300MG 60,34 - Sacramento,Product in Blocked - FDC,432,23,23,,,,,,
2024-12-18,628,4985032,LIDOCAINE AP 5% 30,34 - Sacramento,Product in Blocked - FDC,420,33,33,,,,,,
2024-12-18,625,5420997,OSELTAMIVIR PHOS CP 45MG 10UD BPK,9 - Knoxville,Product in Quarantine - NLC,240,3,3,,,,,,
2024-12-18,625,5420997,OSELTAMIVIR PHOS CP 45MG 10UD BPK,27 - Kansas City,Product in Quarantine - NLC,240,1,1,,,,,,
2024-12-18,617,5108600,ENTRESTO TB 24-26MG 60,34 - Sacramento,Product in Blocked - FDC,192,2,4,,,,,,
2024-12-18,604,5676887,XIIDRA DR 5% 12X5X0.2ML,64 - Kinray,Product in Blocked - FDC,146,41,41,,,,,,
2024-12-18,622,4337838,MOEXIPRIL HCL TB 15MG 100,18 - St. Louis,Product in Quarantine - NLC,144,1,1,,,,,,
2024-12-18,617,5735881,TWIRLA AP 2.6-2.3MG 3,18 - St. Louis,Product in Blocked - FDC,120,3,3,,,,,,
2024-12-18,622,4240941,TOPIRAMATE TB 100MG 60,34 - Sacramento,Product in Quarantine - NLC,96,23,23,,,,,,
2024-12-18,622,4240941,TOPIRAMATE TB 100MG 60,32 - Valencia,Product in Quarantine - NLC,96,1,1,,,,,,
